Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
05/10/19-11:34:59:797,3,1032.00,18512.00,8060.96,17819.00,17624.00,9418.00,6761.00,11871.00,8390.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8057.88,17746.00,17857.00,9359.00,6760.00,11874.00,8390.00,
05/10/19-11:34:59:797,3,1032.00,18511.00,8056.86,17664.00,17807.00,8721.00,6764.00,11871.00,8388.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8056.34,17841.00,18268.00,9133.00,6757.00,11856.00,8390.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8057.37,17849.00,18128.00,9407.00,6757.00,11857.00,8385.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8060.44,17806.00,18051.00,9223.00,6753.00,11860.00,8385.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8061.47,17926.00,18477.00,8957.00,6742.00,11860.00,8395.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8061.98,17758.00,18428.00,9070.00,6741.00,11861.00,8390.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8061.47,17913.00,18171.00,9511.00,6748.00,11857.00,8390.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8061.98,17841.00,18560.00,9196.00,6748.00,11862.00,8389.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8061.47,18040.00,18397.00,9023.00,6746.00,11861.00,8389.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8063.52,17773.00,18544.00,9199.00,6752.00,11862.00,8389.00,
05/10/19-11:34:59:797,3,1032.00,18512.00,8063.52,17761.00,18160.00,9055.00,6751.00,11866.00,8389.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8060.96,17709.00,18355.00,9206.00,6763.00,11877.00,8431.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8057.88,19066.00,17554.00,9048.00,6741.00,11874.00,8428.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8056.34,16294.00,18361.00,9287.00,6748.00,11875.00,8419.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8056.34,18041.00,17197.00,9092.00,6760.00,11868.00,8413.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8056.86,17481.00,18535.00,9114.00,6766.00,11876.00,8412.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8060.44,17804.00,17727.00,9870.00,6764.00,11855.00,8375.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8060.96,17830.00,18002.00,9513.00,6746.00,11860.00,8381.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8060.96,17642.00,18224.00,8878.00,6752.00,11859.00,8387.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8061.98,17795.00,17978.00,9662.00,6764.00,11853.00,8370.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8061.47,17849.00,18073.00,9301.00,6754.00,11858.00,8386.00,
05/10/19-11:35:00:233,4,1032.00,18512.00,8062.49,17865.00,18448.00,9590.00,6758.00,11861.00,8386.00,
