Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,0.80566,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
18/01/01-09:00:28:970,37.00,1816.76,44.00,46.00,2958.00,2966.00,3119.00,3121.00,3121.00,
18/01/01-09:00:28:970,36.00,1816.76,49.00,46.00,2950.00,2956.00,3120.00,3116.00,3120.00,
18/01/01-09:00:28:970,36.00,1818.37,51.00,48.00,2960.00,2947.00,3116.00,3115.00,3119.00,
18/01/01-09:00:28:970,37.00,1817.57,45.00,49.00,2951.00,2955.00,3116.00,3118.00,3124.00,
18/01/01-09:00:28:970,36.00,1816.76,49.00,50.00,2958.00,2961.00,3118.00,3128.00,3111.00,
18/01/01-09:00:28:970,36.00,1824.01,46.00,52.00,2956.00,2956.00,3111.00,3120.00,3120.00,
18/01/01-09:00:28:970,36.00,1820.79,45.00,55.00,2958.00,2956.00,3111.00,3119.00,3120.00,
18/01/01-09:00:28:970,37.00,1814.35,50.00,51.00,2955.00,2943.00,3111.00,3116.00,3120.00,
18/01/01-09:00:36:968,36.00,1807.10,49.00,37.00,2937.00,2924.00,3119.00,3119.00,3120.00,
18/01/01-09:00:36:968,36.00,1810.32,60.00,54.00,2936.00,2972.00,3121.00,3120.00,3120.00,
18/01/01-09:00:36:968,37.00,1816.76,62.00,49.00,2958.00,2968.00,3115.00,3120.00,3118.00,
18/01/01-09:00:36:968,37.00,1814.35,48.00,40.00,2931.00,2940.00,3118.00,3111.00,3116.00,
18/01/01-09:00:36:968,37.00,1811.12,59.00,47.00,2935.00,2966.00,3119.00,3111.00,3120.00,
18/01/01-09:00:36:968,36.00,1814.35,56.00,45.00,2956.00,2940.00,3119.00,3128.00,3111.00,
18/01/01-09:00:36:968,37.00,1811.12,53.00,47.00,2923.00,2931.00,3120.00,3116.00,3128.00,
18/01/01-09:00:36:968,36.00,1809.51,53.00,47.00,2951.00,2976.00,3111.00,3120.00,3111.00,
18/01/01-09:00:44:966,37.00,1810.32,61.00,46.00,2950.00,2915.00,3119.00,3128.00,3118.00,
18/01/01-09:00:44:966,37.00,1811.12,48.00,44.00,2927.00,2950.00,3113.00,3119.00,3111.00,
18/01/01-09:00:44:966,37.00,1810.32,53.00,45.00,2952.00,2960.00,3120.00,3119.00,3112.00,
18/01/01-09:00:44:966,37.00,1810.32,61.00,48.00,2947.00,2927.00,3118.00,3118.00,3114.00,
18/01/01-09:00:44:966,37.00,1811.12,54.00,44.00,2936.00,2961.00,3128.00,3128.00,3121.00,
18/01/01-09:00:44:966,36.00,1810.32,52.00,42.00,2956.00,2961.00,3118.00,3111.00,3113.00,
18/01/01-09:00:44:966,37.00,1807.10,57.00,43.00,2947.00,2923.00,3111.00,3116.00,3116.00,
18/01/01-09:00:44:966,36.00,1809.51,55.00,45.00,2945.00,2966.00,3120.00,3116.00,3119.00,
18/01/01-09:00:52:964,37.00,1807.10,54.00,47.00,2956.00,2944.00,3116.00,3111.00,3111.00,
18/01/01-09:00:52:964,37.00,1807.10,47.00,47.00,2946.00,2932.00,3111.00,3121.00,3120.00,
18/01/01-09:00:52:964,37.00,1810.32,51.00,51.00,2944.00,2976.00,3116.00,3113.00,3120.00,
18/01/01-09:00:52:964,36.00,1811.12,61.00,47.00,2951.00,2924.00,3120.00,3115.00,3116.00,
18/01/01-09:00:52:964,37.00,1810.32,62.00,49.00,2936.00,2947.00,3121.00,3116.00,3119.00,
18/01/01-09:00:52:964,36.00,1807.90,53.00,51.00,2955.00,2968.00,3112.00,3118.00,3118.00,
18/01/01-09:00:52:964,37.00,1805.48,55.00,41.00,2937.00,2913.00,3119.00,3116.00,3111.00,
18/01/01-09:00:52:964,37.00,1807.90,53.00,49.00,2935.00,2951.00,3120.00,3115.00,3116.00,
18/01/01-09:01:00:962,36.00,1807.10,59.00,45.00,2945.00,2953.00,3119.00,3120.00,3111.00,
18/01/01-09:01:00:962,36.00,1810.32,50.00,50.00,2937.00,2935.00,3119.00,3120.00,3120.00,
18/01/01-09:01:00:962,37.00,1804.68,59.00,50.00,2950.00,2963.00,3121.00,3115.00,3120.00,
18/01/01-09:01:00:962,36.00,1806.29,49.00,44.00,2961.00,2940.00,3111.00,3116.00,3111.00,
18/01/01-09:01:00:962,36.00,1807.90,51.00,49.00,2948.00,2931.00,3121.00,3120.00,3111.00,
18/01/01-09:01:00:962,36.00,1807.10,56.00,46.00,2953.00,2961.00,3111.00,3111.00,3119.00,
18/01/01-09:01:00:962,36.00,1807.10,54.00,43.00,2939.00,2928.00,3128.00,3116.00,3111.00,
18/01/01-09:01:00:962,37.00,1810.32,59.00,39.00,2939.00,2939.00,3115.00,3115.00,3111.00,
18/01/01-09:01:08:960,36.00,1805.48,57.00,49.00,2945.00,2956.00,3118.00,3113.00,3116.00,
18/01/01-09:01:08:960,36.00,1802.26,52.00,39.00,2931.00,2920.00,3120.00,3120.00,3116.00,
18/01/01-09:01:08:960,37.00,1803.07,53.00,44.00,2936.00,2959.00,3119.00,3118.00,3119.00,
18/01/01-09:01:08:960,37.00,1801.46,53.00,46.00,2951.00,2956.00,3121.00,3119.00,3118.00,
18/01/01-09:01:08:960,36.00,1802.26,56.00,40.00,2920.00,2932.00,3128.00,3128.00,3113.00,
18/01/01-09:01:08:960,36.00,1806.29,46.00,38.00,2950.00,2968.00,3128.00,3124.00,3115.00,
18/01/01-09:01:08:960,37.00,1804.68,51.00,48.00,2953.00,2927.00,3118.00,3120.00,3121.00,
18/01/01-09:01:08:960,36.00,1801.46,55.00,46.00,2947.00,2927.00,3119.00,3121.00,3113.00,
