Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
06/28/19-16:35:10:240,3,973.00,16974.00,8239.81,17523.00,17743.00,24558.00,6891.00,12748.00,8901.00,
06/28/19-16:35:10:240,3,973.00,16972.00,8243.40,17824.00,18073.00,24710.00,6881.00,12740.00,8878.00,
06/28/19-16:35:10:240,3,971.00,16974.00,8244.94,18247.00,18135.00,24653.00,6886.00,12728.00,8884.00,
06/28/19-16:35:10:240,3,972.00,16975.00,8244.94,17863.00,17732.00,24657.00,6874.00,12744.00,8858.00,
06/28/19-16:35:10:240,3,968.00,16975.00,8244.94,17815.00,17851.00,24795.00,6869.00,12740.00,8853.00,
06/28/19-16:35:10:240,3,972.00,16975.00,8244.94,18145.00,17865.00,24803.00,6867.00,12742.00,8851.00,
06/28/19-16:35:10:240,3,972.00,16975.00,8244.94,18023.00,17962.00,24740.00,6870.00,12733.00,8860.00,
06/28/19-16:35:10:240,3,972.00,16976.00,8244.94,18236.00,18003.00,24865.00,6851.00,12731.00,8841.00,
06/28/19-16:35:10:240,3,973.00,16969.00,8241.35,17880.00,18057.00,24920.00,6866.00,12749.00,8901.00,
06/28/19-16:35:10:240,3,971.00,16970.00,8236.74,17925.00,17885.00,24892.00,6861.00,12750.00,8888.00,
06/28/19-16:35:10:240,3,973.00,16973.00,8236.74,18213.00,17882.00,24810.00,6859.00,12749.00,8888.00,
06/28/19-16:35:10:240,3,971.00,16969.00,8236.74,18228.00,18144.00,24830.00,6860.00,12752.00,8888.00,
06/28/19-16:35:10:240,3,971.00,16970.00,8235.20,17837.00,18249.00,24883.00,6866.00,12739.00,8888.00,
06/28/19-16:35:10:303,3,972.00,16968.00,8233.66,17824.00,17946.00,24951.00,6864.00,12749.00,8894.00,
06/28/19-16:35:10:303,3,972.00,16969.00,8233.66,17782.00,18424.00,24918.00,6856.00,12752.00,8892.00,
06/28/19-16:35:10:303,3,970.00,16969.00,8233.66,17890.00,18374.00,24933.00,6850.00,12754.00,8900.00,
06/28/19-16:35:10:303,3,972.00,16969.00,8233.15,18023.00,17847.00,24903.00,6862.00,12751.00,8893.00,
06/28/19-16:35:10:303,3,972.00,16969.00,8233.66,18307.00,17775.00,24940.00,6850.00,12761.00,8898.00,
06/28/19-16:35:10:303,3,972.00,16968.00,8233.15,18021.00,17780.00,25035.00,6857.00,12744.00,8896.00,
06/28/19-16:35:10:303,3,972.00,16970.00,8233.15,17636.00,17590.00,24954.00,6845.00,12750.00,8897.00,
06/28/19-16:35:10:303,3,969.00,16970.00,8233.66,17886.00,17263.00,24911.00,6853.00,12756.00,8888.00,
06/28/19-16:35:10:303,3,973.00,16971.00,8234.18,18199.00,17525.00,24819.00,6845.00,12748.00,8858.00,
06/28/19-16:35:10:303,3,975.00,16972.00,8237.76,18103.00,17754.00,24951.00,6847.00,12736.00,8833.00,
06/28/19-16:35:10:303,3,972.00,16970.00,8240.33,17921.00,17483.00,24946.00,6855.00,12728.00,8833.00,
06/28/19-16:35:10:303,3,972.00,16970.00,8240.84,17781.00,17666.00,24938.00,6859.00,12735.00,8833.00,
06/28/19-16:35:10:303,3,974.00,16969.00,8240.84,17472.00,17925.00,24963.00,6854.00,12730.00,8833.00,
06/28/19-16:35:10:520,3,975.00,16969.00,8238.79,17466.00,17982.00,24885.00,6843.00,12735.00,8845.00,
06/28/19-16:35:10:520,3,972.00,16973.00,8236.74,18021.00,17709.00,24934.00,6852.00,12734.00,8844.00,
06/28/19-16:35:10:520,3,973.00,16970.00,8236.74,18195.00,17936.00,24961.00,6849.00,12727.00,8843.00,
06/28/19-16:35:10:520,3,970.00,16969.00,8235.71,17987.00,18243.00,24953.00,6852.00,12729.00,8846.00,
06/28/19-16:35:10:520,3,973.00,16971.00,8236.23,17624.00,18057.00,24909.00,6856.00,12724.00,8828.00,
06/28/19-16:35:10:520,3,972.00,16972.00,8237.76,17862.00,18068.00,24941.00,6848.00,12734.00,8828.00,
06/28/19-16:35:10:520,3,974.00,16971.00,8239.81,17824.00,18493.00,24910.00,6855.00,12721.00,8831.00,
06/28/19-16:35:10:520,3,972.00,16972.00,8240.84,17974.00,18683.00,24918.00,6849.00,12726.00,8821.00,
06/28/19-16:35:10:520,3,972.00,16971.00,8240.84,18131.00,18207.00,24916.00,6849.00,12731.00,8814.00,
06/28/19-16:35:10:520,3,974.00,16973.00,8240.84,18086.00,17921.00,24926.00,6853.00,12725.00,8826.00,
06/28/19-16:35:10:520,3,973.00,16972.00,8240.84,17855.00,18129.00,24937.00,6856.00,12735.00,8826.00,
06/28/19-16:35:10:520,3,971.00,16972.00,8240.84,17744.00,17889.00,24934.00,6855.00,12728.00,8826.00,
06/28/19-16:35:10:520,3,975.00,16972.00,8240.84,18151.00,17229.00,24968.00,6840.00,12728.00,8826.00,
06/28/19-16:35:10:737,3,973.00,16972.00,8238.79,18414.00,17549.00,24956.00,6841.00,12741.00,8870.00,
06/28/19-16:35:10:737,3,975.00,16970.00,8236.74,18118.00,17938.00,24923.00,6842.00,12742.00,8876.00,
06/28/19-16:35:10:737,3,972.00,16972.00,8236.23,18086.00,17616.00,25010.00,6839.00,12740.00,8866.00,
06/28/19-16:35:10:737,3,973.00,16968.00,8236.23,17819.00,17364.00,24974.00,6842.00,12743.00,8864.00,
06/28/19-16:35:10:737,3,974.00,16971.00,8236.23,17686.00,18047.00,24961.00,6851.00,12731.00,8832.00,
06/28/19-16:35:10:737,3,973.00,16972.00,8238.79,17735.00,18224.00,24889.00,6845.00,12733.00,8806.00,
06/28/19-16:35:10:737,3,973.00,16970.00,8240.33,17995.00,17829.00,24864.00,6848.00,12723.00,8798.00,
06/28/19-16:35:10:737,3,973.00,16970.00,8240.84,17905.00,17761.00,24939.00,6847.00,12723.00,8808.00,
06/28/19-16:35:10:737,3,972.00,16971.00,8240.84,17598.00,18425.00,24935.00,6834.00,12728.00,8809.00,
06/28/19-16:35:10:737,3,974.00,16970.00,8240.84,17178.00,18193.00,24993.00,6838.00,12732.00,8807.00,
06/28/19-16:35:10:737,3,973.00,16969.00,8240.84,17774.00,17779.00,24972.00,6853.00,12724.00,8807.00,
06/28/19-16:35:10:737,3,969.00,16969.00,8240.84,18000.00,18015.00,24811.00,6843.00,12738.00,8807.00,
06/28/19-16:35:10:737,3,972.00,16972.00,8240.84,18252.00,18373.00,24765.00,6838.00,12741.00,8807.00,
06/28/19-16:35:10:953,3,972.00,16968.00,8238.28,18421.00,18027.00,24830.00,6842.00,12731.00,8826.00,
06/28/19-16:35:10:953,3,971.00,16968.00,8236.23,18041.00,17777.00,24828.00,6849.00,12730.00,8841.00,
06/28/19-16:35:10:953,3,974.00,16968.00,8236.74,17698.00,17962.00,25063.00,6845.00,12734.00,8827.00,
06/28/19-16:35:10:953,3,973.00,16969.00,8236.23,17822.00,17805.00,25137.00,6850.00,12736.00,8822.00,
06/28/19-16:35:10:953,3,972.00,16971.00,8236.23,18038.00,17700.00,24821.00,6842.00,12731.00,8821.00,
06/28/19-16:35:10:953,3,974.00,16972.00,8238.79,18210.00,17649.00,24869.00,6838.00,12730.00,8805.00,
06/28/19-16:35:10:953,3,975.00,16969.00,8240.84,18233.00,17798.00,24924.00,6830.00,12726.00,8806.00,
06/28/19-16:35:10:953,3,970.00,16971.00,8240.84,18020.00,17822.00,24817.00,6835.00,12731.00,8807.00,
06/28/19-16:35:10:953,3,972.00,16972.00,8240.84,17892.00,17871.00,25006.00,6842.00,12727.00,8810.00,
06/28/19-16:35:10:953,3,974.00,16969.00,8240.84,17771.00,18024.00,24985.00,6841.00,12732.00,8806.00,
